id,order_id,product_id,quantity,unit_price
1,1,1,1,550.0
2,1,4,1,1500.0
3,2,5,1,600.0
4,3,6,1,600.0
5,4,2,1,500.0
6,5,1,2,550.0
7,5,4,1,1500.0
8,6,5,3,1000.0
9,6,1,1,550.0
10,6,9,2,1000.0
11,7,7,2,600.0
12,8,3,1,700.0
13,8,2,3,500.0
14,8,4,1,1500.0
15,9,2,1,500.0
16,10,9,3,1000.0
17,10,7,2,600.0
18,10,8,3,500.0
19,11,7,1,600.0
20,12,5,2,1000.0
21,13,2,3,500.0
22,13,5,1,1000.0
23,13,6,3,600.0
24,14,5,2,1000.0
25,14,3,2,700.0
26,15,9,1,1000.0
27,15,2,1,500.0
28,16,6,1,600.0
29,16,2,2,500.0
30,16,7,3,600.0
31,17,5,3,1000.0
32,17,3,1,700.0
33,17,9,2,1000.0
34,18,6,3,600.0
35,18,8,2,500.0
36,18,7,3,600.0
37,19,2,3,500.0
38,19,1,1,550.0
39,20,8,2,500.0
40,20,5,2,1000.0
41,21,5,1,1000.0
42,21,3,1,700.0
43,21,6,3,600.0
44,22,7,1,600.0
45,22,4,2,1500.0
46,23,7,3,600.0
47,23,5,2,1000.0
48,24,7,3,600.0
49,24,5,3,1000.0
50,24,9,2,1000.0
51,25,5,3,1000.0
52,25,3,1,700.0
53,26,9,1,1000.0
54,26,6,3,600.0
55,27,2,2,500.0
56,28,1,2,550.0
57,28,5,3,1000.0
58,28,7,3,600.0
59,29,1,1,550.0
60,29,8,1,500.0
61,29,6,3,600.0
62,30,6,2,600.0
63,30,5,3,1000.0
64,31,3,2,700.0
65,32,2,1,500.0
66,32,6,1,600.0
67,32,7,2,600.0
68,33,8,2,500.0
69,33,1,1,550.0
70,33,2,2,500.0
71,34,5,2,1000.0
72,35,1,1,550.0
73,35,6,2,600.0
74,35,3,2,700.0
75,36,2,2,500.0
76,36,6,3,600.0
77,36,4,3,1500.0
78,37,2,1,500.0
79,38,8,1,500.0
80,38,7,1,600.0
81,39,8,3,500.0
82,40,2,2,500.0
83,41,3,1,700.0
84,42,9,3,1000.0
85,42,6,3,600.0
86,42,1,3,550.0
87,43,6,3,600.0
88,44,5,2,1000.0
89,44,4,1,1500.0
90,44,9,3,1000.0
91,45,4,3,1500.0
92,46,3,1,700.0
93,46,9,3,1000.0
94,46,4,1,1500.0
95,47,9,1,1000.0
96,47,3,1,700.0
97,48,7,2,600.0
98,48,4,1,1500.0
99,49,7,2,600.0
100,49,5,2,1000.0
101,49,1,3,550.0
102,50,8,2,500.0
103,51,7,3,600.0
104,52,9,2,1000.0
105,52,2,1,500.0
106,53,1,3,550.0
107,54,8,1,500.0
108,54,4,1,1500.0
109,54,5,1,1000.0
110,55,5,3,1000.0
111,55,1,1,550.0
112,56,3,2,700.0
113,56,8,3,500.0
114,57,8,1,500.0
115,57,7,1,600.0
116,58,2,3,500.0
117,58,3,3,700.0
118,58,1,1,550.0
119,59,2,2,500.0
120,60,3,3,700.0
121,60,5,2,1000.0
122,60,1,3,550.0
