id,order_id,amount,method,status,paid_at
1,1,1000.0,jazzcash,paid,2025-06-01 12:00:00
2,2,900.0,easypaisa,pending,2025-06-02 13:00:00
3,3,3500.0,cash,pending,2025-06-03 15:00:00
4,4,550.0,bank_tt,paid,2025-06-04 10:00:00
5,5,1400.0,cash,paid,2025-06-05 18:00:00
6,6,2100.0,cash,refunded,2025-06-02 11:00:00
7,7,1200.0,jazzcash,paid,2025-06-03 18:00:00
8,8,8100.0,easypaisa,paid,2025-06-04 18:00:00
9,9,550.0,bank_tt,paid,2025-06-05 12:00:00
10,10,3700.0,easypaisa,paid,2025-06-06 11:00:00
11,11,7150.0,easypaisa,paid,2025-06-07 15:00:00
12,12,4300.0,bank_tt,pending,2025-06-08 13:00:00
13,13,4300.0,bank_tt,pending,2025-06-09 11:00:00
14,14,500.0,cash,pending,2025-06-10 15:00:00
15,15,5300.0,jazzcash,refunded,2025-06-11 13:00:00
16,16,1500.0,easypaisa,pending,2025-06-12 12:00:00
17,17,3000.0,jazzcash,paid,2025-06-13 11:00:00
18,18,6750.0,easypaisa,paid,2025-06-14 13:00:00
19,19,600.0,cash,pending,2025-06-15 14:00:00
20,20,1000.0,jazzcash,refunded,2025-06-16 19:00:00
21,21,1050.0,easypaisa,pending,2025-06-17 15:00:00
22,22,1800.0,bank_tt,refunded,2025-06-18 15:00:00
23,23,1000.0,jazzcash,pending,2025-06-19 17:00:00
24,24,3500.0,bank_tt,paid,2025-06-20 14:00:00
25,25,3000.0,bank_tt,pending,2025-06-21 16:00:00
26,26,1050.0,easypaisa,paid,2025-06-22 14:00:00
27,27,1200.0,jazzcash,pending,2025-06-23 18:00:00
28,28,3200.0,cash,paid,2025-06-24 11:00:00
29,29,3600.0,jazzcash,paid,2025-06-25 18:00:00
30,30,600.0,bank_tt,paid,2025-06-26 12:00:00
31,31,5100.0,bank_tt,paid,2025-06-27 11:00:00
32,32,4050.0,easypaisa,paid,2025-06-28 14:00:00
33,33,5000.0,easypaisa,pending,2025-06-29 15:00:00
34,34,5500.0,bank_tt,paid,2025-06-30 19:00:00
35,35,4100.0,easypaisa,pending,2025-07-01 19:00:00
36,36,5600.0,bank_tt,pending,2025-07-02 13:00:00
37,37,3200.0,bank_tt,paid,2025-07-03 16:00:00
38,38,1400.0,cash,paid,2025-07-04 12:00:00
39,39,3300.0,easypaisa,pending,2025-07-05 12:00:00
40,40,4700.0,easypaisa,refunded,2025-07-06 19:00:00
41,41,1000.0,cash,paid,2025-07-07 14:00:00
42,42,2500.0,cash,pending,2025-07-08 14:00:00
43,43,3600.0,jazzcash,refunded,2025-07-09 19:00:00
44,44,3600.0,easypaisa,refunded,2025-07-10 13:00:00
45,45,4600.0,easypaisa,refunded,2025-07-11 12:00:00
46,46,5500.0,jazzcash,pending,2025-07-12 13:00:00
47,47,3200.0,jazzcash,pending,2025-07-13 12:00:00
48,48,2400.0,cash,pending,2025-07-14 13:00:00
49,49,5100.0,bank_tt,pending,2025-07-15 15:00:00
50,50,600.0,jazzcash,pending,2025-07-16 11:00:00
51,51,4500.0,easypaisa,refunded,2025-07-17 12:00:00
52,52,3000.0,easypaisa,pending,2025-07-18 19:00:00
53,53,3000.0,cash,paid,2025-07-19 18:00:00
54,54,1100.0,cash,pending,2025-07-20 13:00:00
55,55,1050.0,jazzcash,paid,2025-07-21 17:00:00
56,56,5300.0,cash,pending,2025-07-22 16:00:00
57,57,3000.0,bank_tt,refunded,2025-07-23 16:00:00
58,58,2100.0,cash,refunded,2025-07-24 15:00:00
59,59,700.0,bank_tt,refunded,2025-07-25 13:00:00
60,60,3150.0,easypaisa,paid,2025-07-26 16:00:00
